doc_id,item,category,amount,price,discount
OS0Q7MG9LV,Комплект постельного белья,текстиль,2,858.19,0.00
L9PGH0DW5B,Набор столовых приборов,кухонная утварь,1,1897.38,0.00
5QWB4M1R8W,Нож кухонный,кухонная утварь,5,1147.77,0.00
5QWB4M1R8W,Нож кухонный,кухонная утварь,5,1732.34,0.00
JPPPI9CCFX,Разделочная доска,кухонная утварь,5,2351.76,606.83
OUHK6HYILO,Нож кухонный,кухонная утварь,2,1136.63,289.87
OUHK6HYILO,Набор столовых приборов,кухонная утварь,5,2412.42,2869.27
OUHK6HYILO,Нож кухонный,кухонная утварь,4,1509.19,0.00
JE0Y0DFPOP,Ведро,товары для дома,5,907.77,0.00
JE0Y0DFPOP,Плед флисовый,текстиль,1,720.90,0.00
JE0Y0DFPOP,Ведро,товары для дома,5,2700.04,0.00
JE0Y0DFPOP,Универсальный очиститель,бытовая химия,5,1823.13,0.00
GQ6VPPURUV,Универсальный очиститель,бытовая химия,2,1707.96,0.00
GQ6VPPURUV,Комплект постельного белья,текстиль,5,1618.17,0.00
GQ6VPPURUV,Кастрюля,кухонная утварь,5,1639.96,0.00
GQ6VPPURUV,Контейнер для хранения,товары для дома,2,2380.57,0.00
MJ71HH7QUF,Набор столовых приборов,кухонная утварь,5,2814.46,945.42
MJ71HH7QUF,Корзина для белья,товары для дома,1,1764.84,0.00
MJ71HH7QUF,Контейнер для хранения,товары для дома,5,1908.34,0.00
MJ71HH7QUF,Плед флисовый,текстиль,3,347.47,85.20
MJ71HH7QUF,Контейнер для хранения,товары для дома,2,1476.89,868.41
5DFNQYCCZ5,Полотенце махровое,текстиль,2,1646.69,45.82
5DFNQYCCZ5,Комплект постельного белья,текстиль,3,1720.57,0.00
5DFNQYCCZ5,Скатерть,текстиль,2,592.82,0.00
MPEBLXA0Z8,Вешалки для одежды,товары для дома,4,1096.50,0.00
MPEBLXA0Z8,Разделочная доска,кухонная утварь,4,430.62,175.69
MPEBLXA0Z8,Стиральный порошок,бытовая химия,3,1062.26,816.96
MPEBLXA0Z8,Средство для мытья посуды,бытовая химия,4,1125.08,0.00
G5C7NJQKGO,Чистящее средство для ванной,бытовая химия,3,2628.25,142.84
G5C7NJQKGO,Комплект постельного белья,текстиль,3,2734.26,277.99
G5C7NJQKGO,Контейнер для хранения,товары для дома,4,1312.82,0.00
G5C7NJQKGO,Полотенце махровое,текстиль,2,1336.16,519.27
G5C7NJQKGO,Комплект постельного белья,текстиль,3,784.89,0.00
TPJWP3VLGL,Гель для стирки,бытовая химия,2,2603.44,380.24
UDOS14I7ZJ,Кастрюля,кухонная утварь,1,646.62,0.00
U23SW22O6U,Ведро,товары для дома,5,1689.93,0.00
J9V208NDA1,Контейнер для хранения,товары для дома,2,1494.93,0.00
RVOMBEFDU3,Плед флисовый,текстиль,2,2895.73,0.00
RVOMBEFDU3,Стиральный порошок,бытовая химия,1,1520.01,0.00
RVOMBEFDU3,Средство для мытья посуды,бытовая химия,4,2501.24,0.00
RVOMBEFDU3,Разделочная доска,кухонная утварь,4,319.66,0.00
RVOMBEFDU3,Гель для стирки,бытовая химия,4,1122.05,0.00
